type,code,name,market,score,active_days,start_close_avg,end_close_avg,rank_improve,start_hits_avg,end_hits_avg,hit_improve,latest_close_rank,latest_hits,latest_best_rank,latest_close_rate
concept,885937,培育钻石,48,102.28,9,13.8,7.2,6.6,11.6,55.4,43.8,12,56,6,57240.0
concept,886044,液冷服务器,48,102.0,8,16.0,9.2,6.8,1.2,41.2,40.0,16,31,9,0.0
industry,881170,小金属,48,75.24,11,12.0,7.2,4.8,20.0,56.0,36.0,13,56,6,84827.0
concept,886009,先进封装,48,64.46,14,14.6,9.8,4.8,33.0,49.2,16.2,7,56,4,151142.0
industry,881281,电池,48,60.19,14,12.4,8.0,4.4,37.2,56.0,18.8,7,56,7,130115.0
industry,881140,化学制药,48,53.36,4,16.0,12.8,3.2,0.0,24.4,24.4,16,1,15,0.0
industry,881122,光学光电子,48,48.05,12,15.0,11.8,3.2,30.0,42.6,12.6,4,56,4,374851.5
concept,886015,创新药,48,46.96,14,10.0,6.6,3.4,48.4,53.4,5.0,10,56,6,74422.0
industry,881156,保险,48,41.13,9,14.0,11.4,2.6,15.4,26.4,11.0,16,0,16,0
concept,885863,磷化工,48,38.24,4,15.8,13.2,2.6,5.0,19.2,14.2,16,0,16,0
concept,885573,猪肉,48,25.15,4,16.0,13.8,2.2,8.8,7.8,-1.0,5,25,5,187425.5
concept,885893,国家大基金持股,48,24.66,10,14.6,13.0,1.6,15.8,23.2,7.4,16,10,13,0.0
concept,885955,重组蛋白,48,24.63,2,16.0,14.2,1.8,0.0,6.6,6.6,16,0,16,0
industry,881151,机场航运,48,24.11,4,16.0,14.2,1.8,0.0,5.8,5.8,16,4,8,0.0
concept,885886,超级电容,48,23.15,9,15.4,13.6,1.8,7.4,12.2,4.8,16,21,3,0.0
industry,881157,证券,48,20.0,14,2.2,1.2,1.0,56.0,56.0,0.0,1,56,1,666473.5
industry,881273,白酒,48,19.6,14,8.0,6.2,1.8,53.6,55.0,1.4,6,56,5,137783.5
concept,885456,互联网金融,48,17.98,3,16.0,15.0,1.0,0.0,11.0,11.0,16,0,16,0
industry,881275,游戏,48,15.07,3,16.0,15.4,0.6,0.0,11.8,11.8,16,9,14,0.0
concept,886042,存储芯片,48,14.91,14,3.0,2.4,0.6,56.0,56.0,0.0,1,56,1,374097.0
industry,884282,钨,49,14.74,13,13.4,13.4,0.0,23.8,47.2,23.4,16,31,6,0.0
industry,881178,教育,48,14.2,1,16.0,15.0,1.0,0.0,4.0,4.0,11,20,11,89789.5
industry,881270,元件,48,12.37,14,7.4,6.4,1.0,54.6,56.0,1.4,10,56,3,116347.5
concept,885699,ST板块,48,10.82,11,15.6,14.6,1.0,23.8,24.8,1.0,11,40,11,61499.5
industry,881267,能源金属,48,10.16,8,14.4,13.4,1.0,15.8,13.8,-2.0,16,0,16,0
concept,886054,光刻机,48,9.88,2,14.2,13.4,0.8,7.8,7.0,-0.8,3,35,3,223921.0
industry,881121,半导体,48,7.03,14,2.8,2.0,0.8,56.0,56.0,0.0,2,56,2,474006.5
concept,885897,中芯国际概念,48,6.58,6,14.4,14.0,0.4,9.6,13.0,3.4,8,40,5,110791.0
industry,881168,工业金属,48,5.47,9,13.6,14.2,-0.6,5.8,27.8,22.0,16,12,13,0.0
industry,884229,半导体设备,49,5.09,6,16.0,15.8,0.2,2.6,5.4,2.8,16,5,12,0.0
concept,886047,脑机接口,48,5.04,2,16.0,16.0,0.0,0.8,9.2,8.4,16,0,16,0
industry,881280,风电设备,48,5.04,1,16.0,16.0,0.0,0.0,8.4,8.4,16,42,4,0.0
concept,886033,共封装光学(CPO),48,2.95,14,2.6,2.0,0.6,56.0,56.0,0.0,2,56,2,290060.5
concept,885552,小金属概念,48,2.61,6,15.4,15.2,0.2,9.0,9.8,0.8,16,0,16,0
industry,881129,通信设备,48,2.53,14,11.4,11.2,0.2,49.0,55.6,6.6,8,54,7,122998.0
industry,881148,港口航运,48,2.16,3,16.0,16.0,0.0,0.0,3.6,3.6,16,0,16,0
concept,885887,数据中心(AIDC),48,1.56,11,16.0,16.0,0.0,4.8,7.4,2.6,16,9,11,0.0
industry,881124,消费电子,48,1.56,3,16.0,16.0,0.0,0.0,2.6,2.6,16,0,16,0
concept,886038,超导概念,48,1.32,1,16.0,16.0,0.0,0.0,2.2,2.2,16,11,11,0.0
industry,881167,非金属材料,48,0.84,5,16.0,16.0,0.0,3.2,4.6,1.4,16,0,16,0
concept,886065,可控核聚变,48,0.72,2,16.0,16.0,0.0,0.0,1.2,1.2,16,6,15,0.0
concept,885921,储能,48,0.72,2,16.0,16.0,0.0,0.0,1.2,1.2,16,6,12,0.0
concept,886073,铜缆高速连接,48,0.48,6,16.0,16.0,0.0,2.4,3.2,0.8,16,0,16,0
industry,884286,锂,49,0.48,11,14.4,14.4,0.0,15.0,16.4,1.4,16,0,16,0
industry,881125,汽车整车,48,0.36,2,16.0,16.0,0.0,0.0,0.6,0.6,16,0,16,0
industry,884215,稀土,49,0.24,5,16.0,16.0,0.0,0.0,0.4,0.4,16,0,16,0
industry,881274,影视院线,48,0.12,3,16.0,16.0,0.0,3.0,3.2,0.2,16,1,15,0.0
concept,886032,固态电池,48,0.0,2,16.0,16.0,0.0,0.0,0.0,0.0,16,0,16,0
concept,885953,电子纸,48,0.0,2,16.0,16.0,0.0,0.0,0.0,0.0,16,0,16,0
industry,884054,铜,49,0.0,3,16.0,16.0,0.0,0.0,0.0,0.0,16,0,16,0
industry,884309,锂电池,49,0.0,2,16.0,16.0,0.0,0.0,0.0,0.0,16,0,16,0
industry,884059,玻璃玻纤,49,0.0,2,16.0,16.0,0.0,0.0,0.0,0.0,16,0,16,0
industry,881153,房地产,48,-0.55,3,16.0,15.8,0.2,6.8,0.2,-6.6,15,1,15,70508.5
concept,885710,锂电池概念,48,-0.84,10,15.8,16.0,-0.2,5.6,9.4,3.8,16,0,16,0
industry,884036,氟化工,49,-0.84,3,16.0,16.0,0.0,1.4,0.0,-1.4,16,0,16,0
industry,884218,机器人,49,-1.08,2,16.0,16.0,0.0,1.8,0.0,-1.8,16,0,16,0
industry,881279,光伏设备,48,-1.21,8,14.2,13.8,0.4,16.0,9.6,-6.4,5,44,4,158916.0
concept,885728,人工智能,48,-2.28,4,16.0,16.0,0.0,3.8,0.0,-3.8,16,0,16,0
industry,884283,钼,49,-2.28,2,16.0,16.0,0.0,3.8,0.0,-3.8,16,0,16,0
concept,885808,养鸡,48,-3.12,2,16.0,16.0,0.0,5.2,0.0,-5.2,16,0,16,0
industry,881278,电网设备,48,-3.95,13,14.8,14.8,0.0,25.2,21.4,-3.8,16,48,5,0.0
concept,886050,算力租赁,48,-4.05,14,9.6,10.0,-0.4,56.0,56.0,0.0,14,56,10,53215.5
concept,885756,芯片概念,48,-6.19,12,15.4,15.6,-0.2,20.0,12.6,-7.4,16,11,7,0.0
concept,885959,PCB概念,48,-6.63,14,3.6,3.8,-0.2,56.0,56.0,0.0,6,56,2,177019.5
industry,884091,半导体材料,49,-7.4,5,15.0,15.2,-0.2,10.4,2.8,-7.6,12,14,12,86848.0
industry,881109,化学制品,48,-10.9,6,15.6,16.0,-0.4,10.0,2.2,-7.8,16,0,16,0
concept,885343,稀土永磁,48,-12.9,7,14.4,15.8,-1.4,7.4,10.6,3.2,16,0,16,0
concept,885864,光刻胶,48,-13.69,8,12.4,13.8,-1.4,28.8,33.4,4.6,13,37,10,56407.0
concept,886020,PET铜箔,48,-14.56,6,15.0,16.0,-1.0,7.8,2.6,-5.2,16,0,16,0
concept,885970,金属锌,48,-15.36,2,14.8,16.0,-1.2,3.0,0.0,-3.0,16,0,16,0
concept,885530,黄金概念,48,-16.42,4,15.0,16.0,-1.0,8.4,0.0,-8.4,16,0,16,0
industry,881169,贵金属,48,-17.02,9,13.8,15.2,-1.4,7.6,8.6,1.0,16,9,12,0.0
industry,881268,工程机械,48,-20.37,2,14.8,16.0,-1.2,8.8,0.0,-8.8,16,0,16,0
industry,881155,银行,48,-20.56,14,7.2,8.4,-1.2,50.2,52.6,2.4,9,53,9,117971.0
concept,886084,光纤概念,48,-20.57,14,7.0,8.6,-1.6,56.0,55.6,-0.4,9,56,5,90385.0
industry,881166,军工装备,48,-30.36,2,14.0,16.0,-2.0,8.6,0.0,-8.6,16,0,16,0
industry,881160,旅游及酒店,48,-31.27,2,13.8,16.0,-2.2,7.4,0.0,-7.4,16,0,16,0
concept,885903,环氧丙烷,48,-31.5,2,14.0,16.0,-2.0,13.8,0.0,-13.8,16,0,16,0
industry,881107,油气开采及服务,48,-35.94,4,14.0,16.0,-2.0,20.0,0.0,-20.0,16,0,16,0
industry,881145,电力,48,-36.0,14,1.2,3.8,-2.6,56.0,56.0,0.0,3,56,1,447291.5
industry,881158,零售,48,-39.32,13,13.8,15.8,-2.0,37.2,15.0,-22.2,16,0,16,0
concept,886101,兵装重组概念,48,-46.76,2,13.0,16.0,-3.0,12.0,0.0,-12.0,16,0,16,0
concept,886108,AI应用,48,-50.65,9,14.0,16.0,-2.0,44.4,1.2,-43.2,16,0,16,0
concept,886078,商业航天,48,-52.24,14,4.0,8.2,-4.2,56.0,55.6,-0.4,4,56,4,196976.0
concept,885551,氟化工概念,48,-59.18,6,11.8,15.6,-3.8,27.4,7.8,-19.6,16,0,16,0
industry,881105,煤炭开采加工,48,-61.73,4,12.8,16.0,-3.2,35.4,0.0,-35.4,16,0,16,0
concept,885517,机器人概念,48,-63.89,5,11.8,15.8,-4.0,33.6,2.6,-31.0,16,0,16,0
industry,881172,电子化学品,48,-73.8,13,9.6,15.2,-5.6,36.4,23.4,-13.0,14,44,12,82716.5
concept,886069,人形机器人,48,-74.16,14,5.4,11.6,-6.2,55.2,51.6,-3.6,15,54,11,48779.5
industry,881164,文化传媒,48,-75.87,6,12.4,16.0,-3.6,50.8,0.0,-50.8,16,0,16,0
